Date,SPY
2018-06-20,100170.62632765608
2018-06-21,99542.62335638946
2018-06-22,99724.14391238196
2018-06-25,98366.58953561325
2018-06-26,98584.39298838479
2018-06-27,97767.68775619144
2018-06-28,98326.68146892387
2018-06-29,98468.23156287566
2018-07-02,98678.77843629141
2018-07-03,98330.30039929907
2018-07-05,99132.47999371057
2018-07-06,99970.99240118219
2018-07-09,100871.15765527006
2018-07-10,101234.1176532984
2018-07-11,100493.63458224911
2018-07-12,101404.71278327882
2018-07-13,101484.56011433326
2018-07-16,101393.80607587215
2018-07-17,101803.97439669157
2018-07-18,102018.16515862306
2018-07-19,101633.38550624628
2018-07-20,101517.20536213173
2018-07-23,101705.9762579449
2018-07-24,102217.74916881596
2018-07-25,103088.91930315626
2018-07-26,102845.70222380156
2018-07-27,102148.83350330872
2018-07-30,101615.24717762433
2018-07-31,102116.1695369049
2018-08-01,101945.5619278542
2018-08-02,102500.91175207088
2018-08-03,102940.13758798919
2018-08-06,103317.61074472911
2018-08-07,103658.76980701437
2018-08-08,103615.22409134435
2018-08-09,103473.68647646283
2018-08-10,102780.3930095993
2018-08-13,102395.61335722251
2018-08-14,103048.99251786152
2018-08-15,102279.48936892413
2018-08-16,103107.07011084854
2018-08-17,103470.03010887685
2018-08-20,103691.49616876952
2018-08-21,103934.66333184323
2018-08-22,103872.94808987562
2018-08-23,103735.00444722878
2018-08-24,104359.33857183917
2018-08-27,105183.2629461776
2018-08-28,105234.10267841417
2018-08-29,105800.39040771319
2018-08-30,105372.07127920154
2018-08-31,105375.66525143622
2018-09-04,105194.16965358426
2018-09-05,104911.01954939963
2018-09-06,104595.28035323271
2018-09-07,104391.9962987079
2018-09-10,104573.48565702474
2018-09-11,104918.31980550135
2018-09-12,104943.71471347912
2018-09-13,105564.41118910888
2018-09-14,105582.55575726599
2018-09-17,105023.54332592819
2018-09-18,105593.41254839163
2018-09-19,105705.99872027148
2018-09-20,106562.62449822454
2018-09-21,106465.2627920611
2018-09-24,106111.54354555983
2018-09-25,106013.10863935409
2018-09-26,105695.90315243171
2018-09-27,105991.23282918948
2018-09-28,106002.16449473667
2018-10-01,106370.43433716033
2018-10-02,106308.46327425243
2018-10-03,106366.80292771487
2018-10-04,105535.45974610727
2018-10-05,104944.78791352149
2018-10-08,104944.78791352149
2018-10-09,104791.64476329874
2018-10-10,101473.60349064572
2018-10-11,99238.49593509901
2018-10-12,100616.74684989288
2018-10-15,100051.58223691721
2018-10-16,102239.30676268916
2018-10-17,102257.55740294346
2018-10-18,100780.83414473309
2018-10-19,100726.13214025121
2018-10-22,100274.03414336038
2018-10-23,99763.52161858552
2018-10-24,96740.85369943618
2018-10-25,98476.41159343085
2018-10-26,96744.48510888166
2018-10-29,96208.49656217235
2018-10-30,97634.15546488148
2018-10-31,98676.97521063912
2018-11-01,99727.07649389311
2018-11-02,99136.39218223709
2018-11-05,99683.33111309899
2018-11-06,100314.12939610372
2018-11-07,102461.73995052697
2018-11-08,102275.75188738163
2018-11-09,101276.72119916405
2018-11-12,99384.34506875527
2018-11-13,99198.40068235583
2018-11-14,98520.19441143583
2018-11-15,99548.41364499005
2018-11-16,99807.29195752025
2018-11-19,98119.11709330033
2018-11-20,96303.30629846778
2018-11-21,96631.44345093738
2018-11-23,95986.08209294
2018-11-26,97535.72055867578
2018-11-27,97863.8701902156
2018-11-28,100117.2283860166
2018-11-29,99898.47652390534
2018-11-30,100507.34284092925
2018-12-03,101838.22944455374
2018-12-04,98538.44505169014
2018-12-06,98388.92707137775
2018-12-07,96102.79883707572
2018-12-10,96285.06813728379
2018-12-11,96306.94394744842
2018-12-12,96791.89933633215
2018-12-13,96759.06066294466
2018-12-14,94972.450892519
2018-12-17,93109.21963070094
2018-12-18,93007.13459644435
2018-12-19,91614.28316944707
2018-12-20,90122.99683624404
2018-12-21,88276.41265415195
2018-12-24,85943.88099709051
2018-12-26,90286.19187756069
2018-12-27,90979.3730327919
2018-12-28,90861.98865839736
2018-12-31,91657.85384325763
2019-01-02,91753.19394003905
2019-01-03,89563.72858396593
2019-01-04,92563.71579291891
2019-01-07,93293.56045657212
2019-01-08,94170.06539344828
2019-01-09,94610.17100381991
2019-01-10,94943.92997744134
2019-01-11,94980.59348586328
2019-01-14,94401.12161883528
2019-01-15,95483.03829171548
2019-01-16,95714.06955896196
2019-01-17,96440.23913642377
2019-01-18,97723.86126144096
2019-01-22,96403.5756280018
2019-01-23,96605.24988246313
2019-01-24,96656.64493332627
2019-01-25,97474.4545632376
2019-01-28,96733.665754967
2019-01-29,96605.24988246316
2019-01-30,98134.61609856259
2019-01-31,98996.5080441651
2019-02-01,99044.16561348554
2019-02-04,99740.95945955683
2019-02-05,100159.08318766659
2019-02-06,100027.05462432269
2019-02-07,99073.49766813016
2019-02-08,99194.55712871609
2019-02-11,99249.5399122788
2019-02-12,100525.84306258889
2019-02-13,100852.22690568704
2019-02-14,100628.52709221796
2019-02-15,101725.10043311778
2019-02-19,101901.1426772664
2019-02-20,102106.49825745424
2019-02-21,101743.45714546923
2019-02-22,102374.23047033345
2019-02-25,102513.60296652498
2019-02-26,102440.25099154055
2019-02-27,102396.26850841146
2019-02-28,102205.53215903243
2019-03-01,102843.67437488475
2019-03-04,102469.60800432565
2019-03-05,102330.22926859898
2019-03-06,101710.38760928197
2019-03-07,100859.61451528055
2019-03-08,100657.88410500305
2019-03-11,102117.50479742297
2019-03-12,102502.59642655624
2019-03-13,103181.06475795168
2019-03-14,103115.06919488512
2019-03-15,103624.52099868793
2019-03-18,104000.24708559155
2019-03-19,104026.01012614196
2019-03-20,103712.91649287005
2019-03-21,104884.37673439621
2019-03-22,102865.67497575203
2019-03-25,102788.3546564251
2019-03-26,103554.5383726735
2019-03-27,103013.03407690953
2019-03-28,103403.49170625434
2019-03-29,104055.49192962969
2019-04-01,105289.52222943623
2019-04-02,105341.11070588838
2019-04-03,105506.9076333541
2019-04-04,105786.8256583416
2019-04-05,106298.81695294217
2019-04-08,106379.93090962795
2019-04-09,105834.69537185646
2019-04-10,106195.72735352968
2019-04-11,106166.21435236633
2019-04-12,106884.534594635
2019-04-15,106814.55196862058
2019-04-16,106884.534594635
2019-04-17,106623.02319828008
2019-04-18,106832.9336391126
2019-04-22,106925.05413576709
2019-04-23,107886.50410389867
2019-04-24,107647.09314097305
2019-04-25,107580.75440347435
2019-04-26,108081.7391581062
2019-04-29,108251.17997408764
2019-04-30,108306.44977626631
2019-05-01,107492.35266975714
2019-05-02,107260.29187921429
2019-05-03,108310.10614385233
2019-05-06,107864.39119139915
2019-05-07,106063.06235760257
2019-05-08,105915.74693319095
2019-05-09,105595.29688800113
2019-05-10,106125.70729030453
2019-05-13,103458.73655029252
2019-05-14,104394.40475926826
2019-05-15,105005.87296244127
2019-05-16,105978.40434496316
2019-05-17,105293.21603423308
2019-05-20,104597.02742306938
2019-05-21,105540.02708582251
2019-05-22,105215.84579862513
2019-05-23,103930.26445957723
2019-05-24,104166.01905491688
2019-05-28,103197.23139347282
2019-05-29,102504.71162896535
2019-05-30,102784.64213302308
2019-05-31,101399.59636447302
2019-06-03,101141.77877291485
2019-06-04,103337.19040596658
2019-06-05,104232.32035520482
2019-06-06,104910.09609820088
2019-06-07,105959.92284190917
2019-06-10,106446.20725177549
2019-06-11,106420.42549261967
2019-06-12,106232.54061079492
2019-06-13,106670.8679536546
2019-06-14,106553.01561412531
2019-06-17,106593.52267618716
2019-06-18,107709.6756783239
2019-06-19,107952.83036232734
2019-06-20,108984.22551926259
2019-06-21,108825.79124324989
2019-06-24,108692.51477288005
2019-06-25,107626.49019597512
2019-06-26,107519.1452336042
2019-06-27,107900.41826723808
2019-06-28,108455.63706121709
2019-07-01,109440.26066282026
2019-07-02,109725.2826275438
2019-07-03,110602.53630863555
2019-07-05,110476.68488507
2019-07-08,109869.64051230394
2019-07-09,110006.62326654083
2019-07-10,110532.21674772412
2019-07-11,110791.30720444872
2019-07-12,111287.32528911736
2019-07-15,111324.3382115066
2019-07-16,110965.30288107485
2019-07-17,110210.15690247084
2019-07-18,110613.63020209613
2019-07-19,109999.19821973656
2019-07-22,110269.40752806225
2019-07-23,111057.84766611822
2019-07-24,111579.78477971551
2019-07-25,111046.72881451713
2019-07-26,111790.73098337954
2019-07-29,111587.14743116852
2019-07-30,111313.24431804604
2019-07-31,110095.44928864692
2019-08-01,109136.71975783187
2019-08-02,108314.97298125373
2019-08-05,105057.58622959624
2019-08-06,106530.84030627453
2019-08-07,106593.74729945192
2019-08-08,108685.10220514605
2019-08-09,107944.81879922093
2019-08-12,106630.7851799817
2019-08-13,108289.05395232509
2019-08-14,105087.19906332174
